Temperature (C)	Pressure (bar)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
18.000	0.020647	998.55	0.0010014	1.3609	1.3609	4.8251	75.021	75.410	1475.9	-0.022636	1052.7	0.59436	0.073038	0.015385	64.998	43.229	45.647	156.93	25.835	34.294	421.79	33.991	9.4820	0.017950
19.000	0.021983	998.36	0.0010016	1.4363	1.4363	5.0836	74.956	75.396	1479.1	-0.022563	1026.7	0.59617	0.072887	0.016325	61.256	43.254	45.680	156.52	25.851	34.314	422.49	33.009	9.5130	0.018019
20.000	0.023393	998.16	0.0010018	1.5117	1.5117	5.3412	74.890	75.382	1482.2	-0.022492	1001.6	0.59795	0.072736	0.017314	57.757	43.278	45.713	156.12	25.868	34.335	423.18	32.063	9.5441	0.018087
21.000	0.024882	997.95	0.0010021	1.5871	1.5871	5.5979	74.823	75.370	1485.2	-0.022421	977.56	0.59971	0.072584	0.018354	54.483	43.303	45.745	155.72	25.884	34.356	423.87	31.151	9.5752	0.018156
22.000	0.026453	997.73	0.0010023	1.6624	1.6625	5.8537	74.755	75.359	1488.2	-0.022352	954.42	0.60144	0.072432	0.019448	51.418	43.328	45.778	155.32	25.901	34.377	424.56	30.271	9.6065	0.018225
23.000	0.028111	997.50	0.0010025	1.7378	1.7378	6.1086	74.686	75.349	1491.0	-0.022283	932.15	0.60314	0.072279	0.020598	48.548	43.352	45.811	154.93	25.917	34.399	425.25	29.424	9.6379	0.018294
24.000	0.029858	997.25	0.0010028	1.8131	1.8132	6.3626	74.616	75.341	1493.8	-0.022214	910.70	0.60481	0.072126	0.021806	45.858	43.377	45.843	154.54	25.934	34.420	425.94	28.606	9.6694	0.018364
25.000	0.031699	997.00	0.0010030	1.8885	1.8885	6.6157	74.545	75.333	1496.5	-0.022147	890.04	0.60646	0.071972	0.023075	43.337	43.401	45.876	154.15	25.951	34.442	426.63	27.819	9.7009	0.018433
26.000	0.033639	996.74	0.0010033	1.9638	1.9639	6.8679	74.474	75.326	1499.2	-0.022080	870.12	0.60808	0.071818	0.024406	40.973	43.426	45.909	153.77	25.968	34.464	427.31	27.059	9.7326	0.018503
27.000	0.035681	996.47	0.0010035	2.0391	2.0392	7.1193	74.401	75.319	1501.7	-0.022014	850.91	0.60968	0.071663	0.025804	38.754	43.450	45.941	153.39	25.985	34.486	427.99	26.327	9.7643	0.018573
28.000	0.037831	996.19	0.0010038	2.1144	2.1145	7.3698	74.328	75.314	1504.2	-0.021948	832.38	0.61126	0.071507	0.027269	36.672	43.474	45.974	153.01	26.002	34.508	428.67	25.621	9.7962	0.018644
29.000	0.040092	995.90	0.0010041	2.1897	2.1898	7.6194	74.253	75.309	1506.6	-0.021884	814.50	0.61281	0.071351	0.028805	34.716	43.499	46.006	152.64	26.019	34.531	429.35	24.941	9.8281	0.018715
30.000	0.042470	995.61	0.0010044	2.2651	2.2651	7.8683	74.178	75.305	1509.0	-0.021819	797.22	0.61434	0.071194	0.030415	32.878	43.523	46.039	152.26	26.036	34.553	430.03	24.284	9.8602	0.018786
31.000	0.044969	995.30	0.0010047	2.3404	2.3404	8.1162	74.103	75.302	1511.3	-0.021755	780.54	0.61584	0.071037	0.032102	31.151	43.548	46.071	151.90	26.054	34.576	430.71	23.652	9.8923	0.018857
32.000	0.047596	994.99	0.0010050	2.4157	2.4157	8.3634	74.026	75.299	1513.5	-0.021692	764.41	0.61733	0.070879	0.033868	29.526	43.572	46.104	151.53	26.071	34.600	431.38	23.041	9.9245	0.018928
33.000	0.050354	994.66	0.0010054	2.4910	2.4910	8.6098	73.949	75.297	1515.6	-0.021630	748.81	0.61879	0.070721	0.035717	27.998	43.596	46.136	151.17	26.089	34.623	432.05	22.453	9.9567	0.019000
34.000	0.053251	994.33	0.0010057	2.5663	2.5663	8.8553	73.871	75.296	1517.7	-0.021567	733.72	0.62023	0.070562	0.037651	26.560	43.621	46.169	150.81	26.107	34.647	432.72	21.885	9.9891	0.019072
35.000	0.056290	993.99	0.0010060	2.6415	2.6416	9.1001	73.792	75.295	1519.7	-0.021506	719.12	0.62165	0.070402	0.039674	25.205	43.645	46.201	150.46	26.125	34.671	433.39	21.337	10.022	0.019144
36.000	0.059479	993.64	0.0010064	2.7168	2.7169	9.3440	73.713	75.294	1521.6	-0.021444	704.98	0.62305	0.070242	0.041790	23.929	43.669	46.233	150.11	26.143	34.695	434.06	20.809	10.054	0.019217
37.000	0.062823	993.29	0.0010068	2.7921	2.7922	9.5872	73.633	75.295	1523.5	-0.021384	691.29	0.62442	0.070081	0.044001	22.727	43.694	46.266	149.76	26.161	34.720	434.73	20.299	10.087	0.019289
38.000	0.066328	992.92	0.0010071	2.8674	2.8675	9.8295	73.552	75.295	1525.3	-0.021323	678.03	0.62578	0.069920	0.046311	21.593	43.718	46.298	149.41	26.179	34.744	435.39	19.807	10.119	0.019362
39.000	0.070002	992.55	0.0010075	2.9427	2.9428	10.071	73.470	75.296	1527.1	-0.021263	665.18	0.62712	0.069759	0.048723	20.524	43.742	46.330	149.07	26.198	34.770	436.05	19.332	10.152	0.019436
40.000	0.073849	992.18	0.0010079	3.0180	3.0182	10.312	73.388	75.297	1528.7	-0.021203	652.72	0.62844	0.069596	0.051242	19.515	43.766	46.362	148.73	26.217	34.795	436.71	18.873	10.185	0.019509
41.000	0.077878	991.79	0.0010083	3.0933	3.0935	10.552	73.306	75.299	1530.4	-0.021144	640.63	0.62973	0.069434	0.053871	18.563	43.790	46.395	148.39	26.235	34.821	437.37	18.430	10.218	0.019583
